Chunk,Dok³adnoœæ,Czu³oœæ,Precyzja,Swoistoœæ,F1,Zbalansowana dok³adnoœæ,Œrednia geometryczna
0,0.72,0.0,nan,1.0,0.0,0.5,0.0
1,0.82,0.0,nan,1.0,0.0,0.5,0.0
2,0.64,0.5714285714285714,0.4,0.6666666666666666,0.47058823529411764,0.6190476190476191,0.6172133998483676
3,0.84,0.0,nan,1.0,0.0,0.5,0.0
4,0.52,0.9285714285714286,0.3611111111111111,0.3611111111111111,0.52,0.6448412698412699,0.5790660241435862
5,0.8,0.0,nan,1.0,0.0,0.5,0.0
6,0.46,1.0,0.22857142857142856,0.35714285714285715,0.3720930232558139,0.6785714285714286,0.5976143046671968
7,0.56,0.2857142857142857,0.10526315789473684,0.6046511627906976,0.15384615384615385,0.44518272425249167,0.41564104114374517
8,0.8,0.14285714285714285,0.2,0.9069767441860465,0.16666666666666666,0.5249169435215947,0.35995570048589637
9,0.5,0.8571428571428571,0.2,0.4418604651162791,0.32432432432432434,0.6495016611295681,0.615416559354913
10,0.68,0.3333333333333333,0.14285714285714285,0.7272727272727273,0.2,0.5303030303030303,0.49236596391733095
11,0.9,0.16666666666666666,1.0,1.0,0.2857142857142857,0.5833333333333334,0.408248290463863
12,0.7,0.1,0.14285714285714285,0.85,0.11764705882352941,0.475,0.29154759474226505
13,0.38,0.8181818181818182,0.23684210526315788,0.2564102564102564,0.3673469387755102,0.5372960372960374,0.45802861241434445
14,0.78,0.0,nan,1.0,0.0,0.5,0.0
15,0.76,0.0,nan,1.0,0.0,0.5,0.0
16,0.82,0.0,nan,1.0,0.0,0.5,0.0
17,0.6,0.14285714285714285,0.2,0.7777777777777778,0.16666666666666666,0.46031746031746035,0.3333333333333333
18,0.88,0.0,nan,1.0,0.0,0.5,0.0
19,0.76,0.5,0.4166666666666667,0.825,0.45454545454545453,0.6625,0.6422616289332564
20,0.56,0.375,0.15,0.5952380952380952,0.21428571428571425,0.4851190476190476,0.472455591261534
21,0.8,0.3333333333333333,0.42857142857142855,0.9024390243902439,0.375,0.6178861788617886,0.5484642268462742
22,0.56,0.5833333333333334,0.2916666666666667,0.5526315789473685,0.38888888888888895,0.5679824561403509,0.567774973957669
23,0.8,0.0,nan,1.0,0.0,0.5,0.0
24,0.68,0.0,0.0,0.8292682926829268,0.0,0.4146341463414634,0.0
25,0.78,0.09090909090909091,0.5,0.9743589743589743,0.15384615384615385,0.5326340326340326,0.29762071261605527
26,0.86,0.0,nan,1.0,0.0,0.5,0.0
27,0.72,0.23076923076923078,0.42857142857142855,0.8918918918918919,0.3,0.5613305613305614,0.4536752206382952
28,0.76,0.0,nan,1.0,0.0,0.5,0.0
29,0.76,0.0,nan,1.0,0.0,0.5,0.0
30,0.66,0.0,nan,1.0,0.0,0.5,0.0
31,0.48,0.8571428571428571,0.1935483870967742,0.4186046511627907,0.3157894736842105,0.6378737541528239,0.5990024930757496
32,0.52,0.6363636363636364,0.25925925925925924,0.48717948717948717,0.368421052631579,0.5617715617715617,0.5567973689083938
33,0.7,0.0,nan,1.0,0.0,0.5,0.0
34,0.76,0.08333333333333333,0.5,0.9736842105263158,0.14285714285714285,0.5285087719298246,0.2848514540549038
35,0.88,0.0,nan,1.0,0.0,0.5,0.0
36,0.74,0.1,0.2,0.9,0.13333333333333333,0.5,0.30000000000000004
37,0.62,0.2857142857142857,0.3076923076923077,0.75,0.29629629629629634,0.5178571428571428,0.4629100498862757
38,0.86,0.0,nan,1.0,0.0,0.5,0.0
39,0.7,0.16666666666666666,0.2857142857142857,0.868421052631579,0.2105263157894737,0.5175438596491229,0.3804429551263411
40,0.78,0.0,nan,1.0,0.0,0.5,0.0
41,0.8,0.0,nan,1.0,0.0,0.5,0.0
42,0.36,0.5,0.125,0.3333333333333333,0.2,0.41666666666666663,0.408248290463863
43,0.56,0.0,0.0,0.7,0.0,0.35,0.0
44,0.3,0.9166666666666666,0.24444444444444444,0.10526315789473684,0.3859649122807018,0.5109649122807017,0.31063037209869776
45,0.9,0.0,nan,1.0,0.0,0.5,0.0
46,0.76,0.0,0.0,0.9743589743589743,0.0,0.48717948717948717,0.0
47,0.74,0.0,nan,1.0,0.0,0.5,0.0
48,0.76,0.0,nan,1.0,0.0,0.5,0.0
49,0.76,0.0,nan,1.0,0.0,0.5,0.0
50,0.74,0.0,nan,1.0,0.0,0.5,0.0
51,0.8,0.0,nan,1.0,0.0,0.5,0.0
52,0.68,0.375,0.21428571428571427,0.7380952380952381,0.2727272727272727,0.5565476190476191,0.5261042808091513
53,0.54,0.42857142857142855,0.13636363636363635,0.5581395348837209,0.20689655172413793,0.4933554817275747,0.4890834875635334
54,0.36,0.6666666666666666,0.2222222222222222,0.2631578947368421,0.3333333333333333,0.4649122807017544,0.4188539082916955
55,0.9,0.0,nan,1.0,0.0,0.5,0.0
56,0.82,0.125,0.3333333333333333,0.9523809523809523,0.18181818181818182,0.5386904761904762,0.3450327796711771
57,0.72,0.3,0.3,0.825,0.3,0.5625,0.4974937185533099
58,0.5,0.9,0.2727272727272727,0.4,0.41860465116279066,0.65,0.6000000000000001
59,0.62,0.0,0.0,0.6888888888888889,0.0,0.34444444444444444,0.0
60,0.76,0.0,nan,1.0,0.0,0.5,0.0
61,0.9,0.0,nan,1.0,0.0,0.5,0.0
62,0.72,0.0,0.0,0.972972972972973,0.0,0.4864864864864865,0.0
63,0.86,0.0,nan,1.0,0.0,0.5,0.0
64,0.8,0.125,0.25,0.9285714285714286,0.16666666666666666,0.5267857142857143,0.34069257193462343
65,0.86,0.0,nan,1.0,0.0,0.5,0.0
66,0.84,0.0,0.0,0.9767441860465116,0.0,0.4883720930232558,0.0
67,0.64,0.08333333333333333,0.125,0.8157894736842105,0.1,0.44956140350877194,0.26073445522283945
68,0.78,0.0,nan,1.0,0.0,0.5,0.0
69,0.9,0.0,nan,1.0,0.0,0.5,0.0
70,0.76,0.0,0.0,0.9047619047619048,0.0,0.4523809523809524,0.0
71,0.46,0.2857142857142857,0.08333333333333333,0.4883720930232558,0.12903225806451613,0.38704318936877075,0.3735436838188142
72,0.44,0.8,0.23529411764705882,0.35,0.3636363636363636,0.575,0.529150262212918
73,0.56,0.3333333333333333,0.15789473684210525,0.6097560975609756,0.21428571428571427,0.4715447154471545,0.45083481733371616
74,0.8,0.2857142857142857,0.2857142857142857,0.8837209302325582,0.2857142857142857,0.584717607973422,0.5024855165595915
75,0.7,0.3333333333333333,0.25,0.7804878048780488,0.28571428571428575,0.556910569105691,0.5100613704506706
76,0.74,0.2222222222222222,0.25,0.8536585365853658,0.23529411764705882,0.537940379403794,0.43554781255215846
77,0.8,0.1111111111111111,0.3333333333333333,0.9512195121951219,0.16666666666666666,0.5311653116531165,0.325101610132231
78,0.64,0.16666666666666666,0.07142857142857142,0.7045454545454546,0.1,0.4356060606060606,0.34267220842117097
79,0.66,0.6666666666666666,0.3,0.6585365853658537,0.41379310344827586,0.6626016260162602,0.6625891564490792
80,0.34,0.6,0.17142857142857143,0.275,0.26666666666666666,0.4375,0.406201920231798
81,0.66,0.2857142857142857,0.14285714285714285,0.7209302325581395,0.19047619047619047,0.5033222591362125,0.45385026875081025
82,0.58,0.25,0.3076923076923077,0.7352941176470589,0.27586206896551724,0.49264705882352944,0.4287464628562721
83,0.8,0.0,nan,1.0,0.0,0.5,0.0
84,0.72,0.2222222222222222,0.2222222222222222,0.8292682926829268,0.2222222222222222,0.5257452574525745,0.42928061081118973
85,0.5,0.42857142857142855,0.125,0.5116279069767442,0.19354838709677416,0.4700996677740864,0.4682617889493368
86,0.58,0.42857142857142855,0.3157894736842105,0.6388888888888888,0.36363636363636365,0.5337301587301587,0.5232681184722836
87,0.7,0.0,nan,1.0,0.0,0.5,0.0
88,0.8,0.0,nan,1.0,0.0,0.5,0.0
89,0.52,0.46153846153846156,0.2608695652173913,0.5405405405405406,0.33333333333333337,0.501039501039501,0.49947997905846986
90,0.86,0.0,nan,1.0,0.0,0.5,0.0
91,0.44,0.75,0.2647058823529412,0.34210526315789475,0.39130434782608703,0.5460526315789473,0.5065362251294778
92,0.84,0.0,nan,1.0,0.0,0.5,0.0
93,0.5,0.3333333333333333,0.19047619047619047,0.5526315789473685,0.24242424242424246,0.4429824561403509,0.4291975376394761
94,0.84,0.0,nan,1.0,0.0,0.5,0.0
95,0.72,0.0,0.0,0.8780487804878049,0.0,0.43902439024390244,0.0
96,0.14,0.6666666666666666,0.08888888888888889,0.06818181818181818,0.1568627450980392,0.36742424242424243,0.21320071635561041
97,0.74,0.0,0.0,0.925,0.0,0.4625,0.0
98,0.64,0.2727272727272727,0.23076923076923078,0.7435897435897436,0.24999999999999994,0.5081585081585082,0.45033010425376047
99,0.78,0.0,nan,1.0,0.0,0.5,0.0
100,0.88,0.0,nan,1.0,0.0,0.5,0.0
101,0.8,0.1,0.5,0.975,0.16666666666666669,0.5375,0.3122498999199199
102,0.36,0.5,0.09375,0.3409090909090909,0.15789473684210525,0.4204545454545454,0.41286141192238524
103,0.72,0.5,0.21428571428571427,0.75,0.3,0.625,0.6123724356957945
104,0.72,0.1,0.16666666666666666,0.875,0.125,0.4875,0.2958039891549808
105,0.38,0.8181818181818182,0.23684210526315788,0.2564102564102564,0.3673469387755102,0.5372960372960374,0.45802861241434445
106,0.74,0.0,nan,1.0,0.0,0.5,0.0
107,0.82,0.0,nan,1.0,0.0,0.5,0.0
108,0.34,1.0,0.23255813953488372,0.175,0.37735849056603776,0.5875,0.4183300132670378
109,0.78,0.125,0.2,0.9047619047619048,0.15384615384615385,0.5148809523809523,0.33629635456727464
110,0.48,0.625,0.17857142857142858,0.4523809523809524,0.2777777777777778,0.5386904761904762,0.5317312246220784
111,0.62,0.35714285714285715,0.3333333333333333,0.7222222222222222,0.3448275862068965,0.5396825396825397,0.5078745001833701
112,0.78,0.0,nan,1.0,0.0,0.5,0.0
113,0.82,0.0,nan,1.0,0.0,0.5,0.0
114,0.32,0.5833333333333334,0.19444444444444445,0.23684210526315788,0.2916666666666667,0.4100877192982456,0.3716959708375141
115,0.72,0.0,nan,1.0,0.0,0.5,0.0
116,0.74,0.0,nan,1.0,0.0,0.5,0.0
117,0.86,0.0,nan,1.0,0.0,0.5,0.0
118,0.82,0.2,0.6666666666666666,0.975,0.30769230769230765,0.5875,0.44158804331639234
119,0.6,0.0625,0.16666666666666666,0.8529411764705882,0.09090909090909091,0.4577205882352941,0.23088703629569973
120,0.8,0.0,nan,1.0,0.0,0.5,0.0
121,0.26,0.875,0.16279069767441862,0.14285714285714285,0.2745098039215686,0.5089285714285714,0.3535533905932738
122,0.78,0.14285714285714285,0.16666666666666666,0.8837209302325582,0.15384615384615383,0.5132890365448505,0.3553109162073123
123,0.74,0.14285714285714285,0.6666666666666666,0.9722222222222222,0.23529411764705882,0.5575396825396826,0.3726779962499649
124,0.8,0.0,nan,1.0,0.0,0.5,0.0
125,0.58,0.42857142857142855,0.15,0.6046511627906976,0.2222222222222222,0.5166112956810631,0.5090542334806624
126,0.56,0.125,0.0625,0.6428571428571429,0.08333333333333333,0.38392857142857145,0.2834733547569204
127,0.5,0.8333333333333334,0.30303030303030304,0.39473684210526316,0.4444444444444444,0.6140350877192983,0.5735393346764044
128,0.76,0.0,nan,1.0,0.0,0.5,0.0
129,0.8,0.0,nan,1.0,0.0,0.5,0.0
130,0.64,0.2,0.3333333333333333,0.8285714285714286,0.25,0.5142857142857143,0.40708019567928594
131,0.74,0.0,nan,1.0,0.0,0.5,0.0
132,0.84,0.0,nan,1.0,0.0,0.5,0.0
133,0.8,0.0,nan,1.0,0.0,0.5,0.0
134,0.3,0.9166666666666666,0.24444444444444444,0.10526315789473684,0.3859649122807018,0.5109649122807017,0.31063037209869776
135,0.82,0.0,nan,1.0,0.0,0.5,0.0
136,0.68,0.5,0.25,0.7142857142857143,0.3333333333333333,0.6071428571428572,0.5976143046671968
137,0.8,0.125,0.25,0.9285714285714286,0.16666666666666666,0.5267857142857143,0.34069257193462343
138,0.56,0.46153846153846156,0.2857142857142857,0.5945945945945946,0.35294117647058826,0.5280665280665281,0.5238590215203652
139,0.74,0.0,nan,1.0,0.0,0.5,0.0
140,0.82,0.0,nan,1.0,0.0,0.5,0.0
141,0.6,0.18181818181818182,0.15384615384615385,0.717948717948718,0.16666666666666669,0.44988344988344986,0.3612978418647564
142,0.76,0.0,nan,1.0,0.0,0.5,0.0
143,0.74,0.0,nan,1.0,0.0,0.5,0.0
144,0.88,0.0,nan,1.0,0.0,0.5,0.0
145,0.54,0.3333333333333333,0.15,0.5853658536585366,0.20689655172413793,0.45934959349593496,0.44172610429938614
146,0.44,0.6,0.10344827586206896,0.4222222222222222,0.17647058823529413,0.5111111111111111,0.5033222956847166
147,0.88,0.0,nan,1.0,0.0,0.5,0.0
148,0.58,0.42857142857142855,0.15,0.6046511627906976,0.2222222222222222,0.5166112956810631,0.5090542334806624
149,0.54,0.25,0.26666666666666666,0.6764705882352942,0.2580645161290323,0.4632352941176471,0.41123916041498715
150,0.84,0.0,nan,1.0,0.0,0.5,0.0
151,0.32,0.2857142857142857,0.06451612903225806,0.32558139534883723,0.10526315789473685,0.30564784053156147,0.30499714066520933
152,0.72,0.06666666666666667,1.0,1.0,0.125,0.5333333333333333,0.2581988897471611
153,0.74,0.0,0.0,0.9736842105263158,0.0,0.4868421052631579,0.0
154,0.86,0.0,nan,1.0,0.0,0.5,0.0
155,0.42,0.7272727272727273,0.23529411764705882,0.3333333333333333,0.3555555555555555,0.5303030303030303,0.49236596391733095
156,0.88,0.0,nan,1.0,0.0,0.5,0.0
157,0.48,0.625,0.17857142857142858,0.4523809523809524,0.2777777777777778,0.5386904761904762,0.5317312246220784
158,0.42,0.5555555555555556,0.16666666666666666,0.3902439024390244,0.2564102564102564,0.47289972899729,0.4656201971797188
159,0.84,0.2,0.2,0.9111111111111111,0.20000000000000004,0.5555555555555556,0.42687494916218993
160,0.74,0.0,nan,1.0,0.0,0.5,0.0
161,0.84,0.0,nan,1.0,0.0,0.5,0.0
162,0.48,0.75,0.10714285714285714,0.45652173913043476,0.1875,0.6032608695652174,0.5851421232041204
163,0.78,0.0,0.0,0.9512195121951219,0.0,0.47560975609756095,0.0
164,0.34,0.6666666666666666,0.16666666666666666,0.2682926829268293,0.26666666666666666,0.46747967479674796,0.42292054645983584
165,0.4,0.2,0.08333333333333333,0.45,0.11764705882352941,0.325,0.30000000000000004
166,0.66,0.14285714285714285,0.08333333333333333,0.7441860465116279,0.10526315789473685,0.44352159468438535,0.32605565837568895
167,0.74,0.07692307692307693,0.5,0.972972972972973,0.13333333333333336,0.524948024948025,0.2735764515525319
168,0.86,0.0,nan,1.0,0.0,0.5,0.0
169,0.52,0.8333333333333334,0.17857142857142858,0.4772727272727273,0.29411764705882354,0.6553030303030303,0.6306562238868912
170,0.76,0.2,0.3333333333333333,0.9,0.25,0.55,0.42426406871192857
171,0.24,0.8888888888888888,0.17777777777777778,0.0975609756097561,0.2962962962962963,0.49322493224932246,0.2944840695329241
172,0.76,0.14285714285714285,0.14285714285714285,0.8604651162790697,0.14285714285714285,0.5016611295681063,0.350604603563426
173,0.68,0.2,0.07692307692307693,0.7333333333333333,0.1111111111111111,0.4666666666666667,0.38297084310253526
174,0.84,0.0,nan,1.0,0.0,0.5,0.0
175,0.6,0.4,0.2222222222222222,0.65,0.2857142857142857,0.525,0.5099019513592785
176,0.18,1.0,0.14583333333333334,0.046511627906976744,0.2545454545454546,0.5232558139534884,0.21566554640687682
177,0.68,0.125,0.1,0.7857142857142857,0.11111111111111112,0.45535714285714285,0.31339158526400435
178,0.48,0.8333333333333334,0.29411764705882354,0.3684210526315789,0.4347826086956522,0.6008771929824561,0.5540916385036406
179,0.86,0.0,nan,1.0,0.0,0.5,0.0
180,0.6,0.36363636363636365,0.23529411764705882,0.6666666666666666,0.2857142857142857,0.5151515151515151,0.49236596391733095
181,0.8,0.0,nan,1.0,0.0,0.5,0.0
182,0.36,0.45454545454545453,0.16129032258064516,0.3333333333333333,0.23809523809523805,0.3939393939393939,0.38924947208076144
183,0.7,0.0,nan,1.0,0.0,0.5,0.0
184,0.78,0.0,nan,1.0,0.0,0.5,0.0
185,0.7,0.0,nan,1.0,0.0,0.5,0.0
186,0.8,0.09090909090909091,1.0,1.0,0.16666666666666669,0.5454545454545454,0.30151134457776363
187,0.82,0.0,nan,1.0,0.0,0.5,0.0
188,0.36,0.8333333333333334,0.25,0.21052631578947367,0.3846153846153846,0.5219298245614035,0.4188539082916955
189,0.76,0.0,nan,1.0,0.0,0.5,0.0
190,0.84,0.0,nan,1.0,0.0,0.5,0.0
191,0.22,0.75,0.07317073170731707,0.17391304347826086,0.13333333333333333,0.46195652173913043,0.3611575592573076
192,0.74,0.0,0.0,0.9736842105263158,0.0,0.4868421052631579,0.0
193,0.76,0.0,nan,1.0,0.0,0.5,0.0
194,0.82,0.0,nan,1.0,0.0,0.5,0.0
195,0.58,0.3076923076923077,0.25,0.6756756756756757,0.27586206896551724,0.4916839916839917,0.4559607525875532
196,0.78,0.0,nan,1.0,0.0,0.5,0.0
197,0.8,0.0,nan,1.0,0.0,0.5,0.0
198,0.54,0.6666666666666666,0.23076923076923078,0.5121951219512195,0.3428571428571429,0.589430894308943,0.5843487097907775